id;platform;name;description;price_per_1000;min_quantity;max_quantity;daily_limit;estimated_time;is_active;created_at;updated_at;provider_service_id;provider_price
cf5c2458-d036-464b-89a7-277dd209191c;instagram;Alcance + Impressões + Visitas no Perfil;Aumente o alcance e impressões;170.00;100;100000;200000;1-24h;true;2026-01-04 09:37:15.528164+00;2026-01-04 09:37:15.528164+00;;
18cdce03-0fc1-4e50-897f-443bca81474e;facebook;👍Curtidas de Alta Qualidade no Reels e Fotos Barato | Reposição |👍;Categoria com os Serviços + Rápidos e Vendidos no Site | PARA AGILIZAR |✅ - Default;0.72;30;100000;200000;1-24h;false;2026-03-12 16:34:08.43616+00;2026-03-12 16:34:41.884281+00;589;0.72
a17b80cd-de3a-4b7b-8f72-3c10f3edfec2;facebook;👍Curtidas no Reels ou Foto POUCA QUEDA | Sempre Atualizada + Rápido👍;🅾▶️Os Melhores Serviços para Revenda ou uso Própio| TOP |‎♪ⓕ - Default;0.79;30;100000;200000;1-24h;false;2026-03-12 16:34:08.43616+00;2026-03-12 16:34:42.673111+00;948;0.79
1d1ed2d3-6a40-4e59-8055-5cf7e752432d;instagram;🔥Alcançe + Impressões + Visitas no perfil Instagram🔥;🅾▶️Os Melhores Serviços para Revenda ou uso Própio| TOP |‎♪ⓕ - Default;60.00;30;100000;200000;1-24h;true;2026-03-13 10:43:11.014216+00;2026-03-13 10:43:49.614803+00;792;0.75
38282be2-8e86-4b58-892f-333248fcf416;twitter;Seguidores;Seguidores activos no Twitter/X;480.00;100;100000;200000;1-24h;true;2026-01-04 09:37:15.528164+00;2026-03-13 10:44:41.794624+00;69;7.44
153c54f9-07ff-4ad9-ab94-ca41def938ac;instagram;✅Instagram | Salves | Rápido ✅;Categoria com os Serviços + Rápidos e Vendidos no Site | PARA AGILIZAR |✅ - Default;0.34;100;50000;200000;1-24h;false;2026-03-12 16:34:08.43616+00;2026-03-12 16:34:49.141695+00;754;0.34
326bba5d-4027-4df4-9587-6617a1204d9b;twitter;Visualizações em Vídeos;Visualizações nos vídeos;120.00;100;100000;200000;1-6h;true;2026-01-04 09:37:15.528164+00;2026-03-13 10:45:12.578462+00;723;0.08
ad4cfe41-17ce-47f1-a61d-717783a8adf8;twitter;Retweets;Retweets nos seus posts;250.00;100;100000;200000;1-24h;true;2026-01-04 09:37:15.528164+00;2026-03-13 10:45:35.446078+00;300;
2bc74e47-56da-484a-bcac-d8ca2d9d6b33;twitter;Curtidas;Curtidas nos tweets;250.00;100;100000;200000;1-12h;true;2026-01-04 09:37:15.528164+00;2026-03-13 10:46:07.626655+00;1165;9.52
2ff26470-af2d-42ca-a6a8-7f18d7cc344c;youtube;Visualizações;Visualizações nos vídeos (máx 10k/dia);250.00;100;100000;200000;1-24h;true;2026-01-04 09:37:15.528164+00;2026-03-13 10:46:40.04457+00;163;
